node,type,label,degree_centrality,betweenness_centrality,community
A,company,"Agilent Technologies, Inc.",0.004801920768307323,9.811616954474098e-05,
AAPL,company,Apple Inc.,0.004801920768307323,0.0009494182288299935,
ABBV,company,AbbVie Inc.,0.009603841536614645,0.000914788992520085,
ABNB,company,"Airbnb, Inc.",0.009603841536614645,0.0141662434204451,
ABT,company,Abbott Laboratories,0.012004801920768306,0.0011456505679194756,
ACGL,company,Arch Capital Group Ltd.,0.008403361344537815,0.0029607997044971837,
ACN,company,Accenture plc,0.009603841536614645,0.001321682519161511,
ADBE,company,Adobe Inc.,0.008403361344537815,0.00048192353864622776,
ADI,company,"Analog Devices, Inc.",0.015606242496998799,0.0006983562655831564,
ADM,company,Archer-Daniels-Midland Company,0.004801920768307323,0.0,
ADP,company,"Automatic Data Processing, Inc.",0.009603841536614645,0.0013072536706990488,
ADSK,company,"Autodesk, Inc.",0.009603841536614645,0.0004588373811062887,
AEE,company,Ameren Corporation,0.009603841536614645,0.00535598854926586,
AEP,company,"American Electric Power Company, Inc.",0.010804321728691476,0.0012899390525440947,
AES,company,The AES Corporation,0.013205282112845136,0.004224766829808847,
AFL,company,Aflac Incorporated,0.0024009603841536613,0.0,
AIG,company,"American International Group, Inc.",0.007202881152460984,0.00029434850863422295,
AIZ,company,"Assurant, Inc.",0.010804321728691476,0.003361921691753625,
AJG,company,Arthur J. Gallagher & Co.,0.008403361344537815,0.0021066118755194386,
AKAM,company,"Akamai Technologies, Inc.",0.007202881152460984,0.00032609197525163914,
ALB,company,Albemarle Corporation,0.012004801920768306,0.0009407609197525165,
ALGN,company,"Align Technology, Inc.",0.007202881152460984,5.771539384984763e-05,
ALL,company,The Allstate Corporation,0.006002400960384153,0.0,
ALLE,company,Allegion plc,0.008403361344537815,0.0010475343983747346,
AMAT,company,"Applied Materials, Inc.",0.010804321728691476,0.0037024425154677256,
AMCR,company,Amcor plc,0.010804321728691476,0.0035062101763782437,
AMD,company,"Advanced Micro Devices, Inc.",0.01680672268907563,0.000499238156801182,
AME,company,"AMETEK, Inc.",0.009603841536614645,0.0005223243143411211,
AMGN,company,Amgen Inc.,0.010804321728691476,0.005936028257456829,
AMP,company,"Ameriprise Financial, Inc.",0.010804321728691476,0.0005684966294209992,
AMT,company,American Tower Corporation,0.010804321728691476,0.00170837565795549,
AMZN,company,"Amazon.com, Inc.",0.013205282112845136,0.0023865315356911996,
ANET,company,Arista Networks Inc,0.014405762304921969,0.0018122633668852157,
AON,company,Aon plc,0.013205282112845136,0.002320158832763875,
AOS,company,A. O. Smith Corporation,0.003601440576230492,5.194385446486287e-05,
APA,company,APA Corporation,0.013205282112845136,0.004317111459968603,
APD,company,"Air Products and Chemicals, Inc.",0.007202881152460984,0.0023721026872287375,
APH,company,Amphenol Corporation,0.007202881152460984,3.17434666174162e-05,
APO,company,"Apollo Global Management, Inc.",0.008403361344537815,0.001142764798226983,
APTV,company,Aptiv PLC,0.010804321728691476,0.0005771539384984764,
ARE,company,"Alexandria Real Estate Equities, Inc.",0.012004801920768306,0.0006002400960384154,
ATO,company,Atmos Energy Corporation,0.009603841536614645,0.0008686166774402069,
AVB,company,"AvalonBay Communities, Inc.",0.009603841536614645,4.3286545387385724e-05,
AVGO,company,Broadcom Inc.,0.014405762304921969,0.0012524240465416937,
AVY,company,Avery Dennison Corporation,0.008403361344537815,0.0009955905439098718,
AWK,company,"American Water Works Company, Inc.",0.008403361344537815,0.005569535506510297,
AXON,company,"Axon Enterprise, Inc.",0.008403361344537815,0.002487533474928433,
AXP,company,American Express Company,0.008403361344537815,0.003569697109613076,
AZO,company,"AutoZone, Inc.",0.014405762304921969,0.0043055683811986335,
BA,company,The Boeing Company,0.009603841536614645,0.001362083294856404,
BAC,company,Bank of America Corporation,0.015606242496998799,0.0024298180810785855,
BALL,company,Ball Corporation,0.010804321728691476,0.0028020823714101028,
BAX,company,Baxter International Inc.,0.004801920768307323,0.0024933050143134176,
BBY,company,"Best Buy Co., Inc.",0.012004801920768306,0.00182957798504017,
BDX,company,"Becton, Dickinson and Company",0.008403361344537815,0.04355780773848001,
BEN,company,"Franklin Resources, Inc.",0.009603841536614645,0.00012120232708468003,
BF.B,company,Brown-Forman Corporation,0.014405762304921969,0.010896666358851233,
BG,company,Bunge Global SA,0.007202881152460984,5.194385446486287e-05,
BIIB,company,Biogen Inc.,0.008403361344537815,0.0009205605319050697,
BK,company,The Bank of New York Mellon Corporation,0.007202881152460984,7.503001200480193e-05,
BKNG,company,Booking Holdings Inc.,0.012004801920768306,0.0020546680210545756,
BKR,company,Baker Hughes Company,0.02160864345738295,0.007855065102964263,
BLDR,company,"Builders FirstSource, Inc.",0.012004801920768306,0.0021816418875242405,
BLK,company,"BlackRock, Inc.",0.013205282112845136,0.0161747391264198,
BMY,company,Bristol-Myers Squibb Company,0.008403361344537815,0.00038380736910148674,
BR,company,"Broadridge Financial Solutions, Inc.",0.015606242496998799,0.005532020500507896,
BRO,company,"Brown & Brown, Inc.",0.007202881152460984,0.00023086157539939053,
BSX,company,Boston Scientific Corporation,0.010804321728691476,0.0027559100563302246,
BX,company,Blackstone Inc.,0.015606242496998799,0.0015063717794810232,
BXP,company,"BXP, Inc.",0.012004801920768306,0.0010504201680672268,
C,company,Citigroup Inc.,0.013205282112845136,0.0005165527749561364,
CAG,company,"Conagra Brands, Inc.",0.01680672268907563,0.0021037261058269464,
CAH,company,"Cardinal Health, Inc.",0.009603841536614645,0.00267799427463293,
CARR,company,Carrier Global Corporation,0.009603841536614645,0.001815149136577708,
CAT,company,Caterpillar Inc.,0.015606242496998799,0.0002654908117092991,
CB,company,Chubb Limited,0.0024009603841536613,0.0,
CBOE,company,"Cboe Global Markets, Inc.",0.013205282112845136,0.008691938313787053,
CBRE,company,"CBRE Group, Inc.",0.013205282112845136,0.004729776525995014,
CCI,company,Crown Castle Inc.,0.008403361344537815,0.01328031212484994,
CCL,company,Carnival Corporation & plc,0.006002400960384153,0.0002712623510942839,
CDNS,company,"Cadence Design Systems, Inc.",0.013205282112845136,0.0045335441869055314,
CDW,company,CDW Corporation,0.015606242496998799,0.000854187828977745,
CEG,company,Constellation Energy Corporation,0.014405762304921969,0.004455628405208237,
CF,company,"CF Industries Holdings, Inc.",0.008403361344537815,0.01766668205743836,
CFG,company,"Citizens Financial Group, Inc.",0.014405762304921969,0.00039535044787145627,
CHD,company,"Church & Dwight Co., Inc.",0.010804321728691476,0.000340520823714101,
CHRW,company,"C.H. Robinson Worldwide, Inc.",0.008403361344537815,0.0031022024194293104,
CHTR,company,"Charter Communications, Inc.",0.007202881152460984,0.0023547880690737836,
CI,company,The Cigna Group,0.013205282112845136,0.002761681595715209,
CINF,company,Cincinnati Financial Corporation,0.006002400960384153,0.00013274540585464956,
CL,company,Colgate-Palmolive Company,0.009603841536614645,4.3286545387385724e-05,
CLX,company,The Clorox Company,0.01920768307322929,0.0015756302521008404,
CMCSA,company,Comcast Corporation,0.004801920768307323,0.00041843660541139534,
CME,company,CME Group Inc.,0.009603841536614645,0.002147012651214332,
CMG,company,"Chipotle Mexican Grill, Inc.",0.010804321728691476,0.0036331840428479086,
CMI,company,Cummins Inc.,0.013205282112845136,0.0024615615476960015,
CMS,company,CMS Energy Corporation,0.008403361344537815,0.00045306584172130393,
CNC,company,Centene Corporation,0.010804321728691476,0.00464031766552775,
CNP,company,"CenterPoint Energy, Inc.",0.007202881152460984,0.0003809215994089944,
COF,company,Capital One Financial Corporation,0.013205282112845136,0.0017603195124203529,
COO,company,"The Cooper Companies, Inc.",0.009603841536614645,0.00038380736910148674,
COP,company,ConocoPhillips,0.009603841536614645,0.0004097792963339182,
COR,company,"Cencora, Inc.",0.008403361344537815,0.0004242081447963801,
COST,company,Costco Wholesale Corporation,0.007202881152460984,0.00022797580570689814,
CPAY,company,"Corpay, Inc.",0.013205282112845136,0.0012091375011543078,
CPB,company,The Campbell's Company,0.01680672268907563,0.0044844861021331615,
CPRT,company,"Copart, Inc.",0.007202881152460984,0.0010619632468371965,
CPT,company,Camden Property Trust,0.01920768307322929,0.0015756302521008404,
CRL,company,"Charles River Laboratories International, Inc.",0.015606242496998799,0.007298111552313233,
CRM,company,"Salesforce, Inc.",0.009603841536614645,0.005964885954381753,
CRWD,company,"CrowdStrike Holdings, Inc.",0.008403361344537815,0.0014688567734786222,
CSCO,company,"Cisco Systems, Inc.",0.013205282112845136,0.0007762720472804507,
CSGP,company,"CoStar Group, Inc.",0.010804321728691476,0.01171622495151907,
CSX,company,CSX Corporation,0.010804321728691476,0.003967933327177025,
CTAS,company,Cintas Corporation,0.004801920768307323,0.0024009603841536617,
CTRA,company,Coterra Energy Inc.,0.012004801920768306,0.003203204358666544,
CTSH,company,Cognizant Technology Solutions Corporation,0.014405762304921969,0.003159917813279158,
CTVA,company,"Corteva, Inc.",0.003601440576230492,0.0016160310277957338,
CVS,company,CVS Health Corporation,0.010804321728691476,0.003985247945331979,
CVX,company,Chevron Corporation,0.010804321728691476,0.0001731461815495429,
